g10406.t1	HDH1m:116630-119812(-)	33.333	84	50	2	517	599	43	279	0.003	32.3
g16115.t1	PKY1m:258622-269217(+)	31.728	353	199	13	977	1320	5191	6150	9.87e-35	136
g3461.t1	SPP1Cm:52718-58754(-)	37.736	53	31	2	160	212	1141	989	0.007	29.3
g13359.t1	PSF2m:94066-98926(-)	30.275	109	68	5	146	253	865	1170	1.91e-05	38.1
g6647.t1	PKY1m:258622-269217(+)	32.258	217	122	8	1236	1448	5545	6132	3.95e-25	105
g14614.t1	PKY1m:258622-269217(+)	27.727	220	121	10	1045	1243	5545	6153	3.46e-07	46.2
g17137.t1	PKY1m:258622-269217(+)	36.257	171	101	4	962	1129	5632	6129	6.82e-28	114
g13878.t1	PKY1m:258622-269217(+)	35.088	114	61	6	761	865	5650	5979	8.14e-11	57.4
g14114.t1	RFC4m:83197-86315(-)	25.592	211	105	10	821	1012	118	651	1.71e-04	36.6
g1105.t1	DRG1m:200979-204132(+)	39.655	58	34	1	294	351	160	330	2.44e-04	35.0
g4908.t1	PKY1m:258622-269217(+)	32.773	119	61	5	692	793	5662	6012	8.50e-10	53.9
g195.t1	PKY1m:258622-269217(+)	30.409	342	205	6	1208	1543	5206	6150	9.03e-29	118
g7061.t1	PKY1m:258622-269217(+)	23.333	300	169	12	7	251	5233	6114	3.89e-14	67.0
g7492.t1	PKY1m:258622-269217(+)	50.000	26	13	0	13	38	1452	1529	0.007	27.7
g6752.t1	RFC4m:83197-86315(-)	73.684	19	5	0	687	705	118	174	0.003	33.1
g4557.t1	PKY1m:258622-269217(+)	33.962	106	50	5	257	350	5680	5973	9.16e-07	43.5
g16823.t1	PKY1m:258622-269217(+)	24.403	377	200	9	1713	2074	5206	6126	1.61e-19	88.6
g2770.t1	UTP1m:332078-336649(-)	22.981	161	118	3	2	157	1264	1743	2.64e-06	42.0
g2770.t1	PSF2m:94066-98926(-)	24.800	125	90	1	37	157	277	651	5.59e-06	40.8
g2770.t1	PSF2m:94066-98926(-)	25.521	192	119	9	19	193	604	1158	2.06e-04	35.8
g2770.t1	PSF2m:94066-98926(-)	24.590	122	84	5	40	154	799	1161	5.89e-04	34.3
g4544.t1	PKY1m:258622-269217(+)	29.255	188	117	5	39	211	5554	6114	1.95e-14	69.3
g4238.t1	PKY1m:258622-269217(+)	28.440	109	52	4	559	655	5707	5991	2.45e-06	42.7
g15862.t1	TOC34m:120019-123826(+)	33.333	72	39	2	404	466	268	483	0.004	31.6
g10045.t1	PKY1m:258622-269217(+)	28.431	306	157	15	741	1001	5245	6111	1.10e-16	77.0
