MADS2	C0116	75.510	49	12	0	79	127	297984	298130	1.49e-14	79.7
MADS2	C0116	90.625	32	3	0	49	80	297527	297622	6.32e-10	64.7
SPP3	C0001	57.143	63	26	1	93	155	3434191	3434006	2.77e-07	56.2
SPP3	C0001	65.854	41	14	0	459	499	3431497	3431375	8.01e-07	54.7
DRG1	C0043	93.478	46	3	0	77	122	263982	263845	1.50e-20	95.9
DRG1	C0043	94.118	34	2	0	253	286	261887	261786	1.04e-15	80.9
DRG1	C0043	94.595	37	2	0	287	323	261545	261435	1.69e-15	80.1
DRG1	C0043	100.000	33	0	0	121	153	263693	263595	5.48e-13	72.4
DRG1	C0043	88.889	36	4	0	321	356	261167	261060	4.74e-12	69.7
DRG1	C0043	62.500	48	18	0	157	204	263163	263020	1.07e-10	65.5
DRG1	C0043	86.207	29	4	0	222	250	262194	262108	6.44e-09	59.7
DRG1	C0043	94.444	36	2	0	42	77	264229	264122	5.05e-04	44.3
SPS1	C0116	81.250	80	15	0	170	249	91921	92160	6.29e-36	142
SPS1	C0116	86.154	65	9	0	113	177	91576	91770	1.44e-29	123
SPS1	C0116	95.000	40	2	0	10	49	89688	89807	1.24e-17	85.9
SPS1	C0116	68.966	58	18	0	255	312	92370	92543	1.42e-15	79.7
SPS1	C0116	92.308	26	2	0	89	114	90980	91057	1.87e-06	51.6
RFC4	C0043	94.340	53	3	0	122	174	359880	359722	5.61e-26	112
RFC4	C0043	96.429	28	1	0	36	63	360571	360488	5.54e-20	59.7
RFC4	C0043	72.500	40	11	0	5	44	360750	360631	5.54e-20	58.2
RFC4	C0043	89.831	59	6	0	64	122	360320	360144	2.88e-18	88.2
RFC4	C0043	76.000	50	12	0	174	223	359483	359334	1.56e-15	79.7
PTC1	C0116	89.655	58	6	0	643	700	211817	211644	1.60e-22	106
PTC1	C0116	92.000	50	4	0	449	498	213608	213459	1.15e-19	97.1
PTC1	C0116	93.023	43	3	0	1	43	217975	217847	8.18e-18	90.9
PTC1	C0116	95.745	47	2	0	699	745	211452	211312	1.80e-17	90.1
PTC1	C0116	86.957	46	6	0	275	320	215488	215351	1.33e-15	84.0
PTC1	C0116	85.714	42	6	0	60	101	217593	217468	5.40e-13	75.5
